204,740,664,434,422
203,742,670,444,432
202,750,674,460,440
201,750,682,460,448
200,750,676,478,448
199,752,676,486,454
198,748,670,492,458
197,750,664,498,458
196,748,658,504,458
195,748,650,510,458
194,748,646,516,458
193,756,630,526,452
192,752,624,532,438
191,752,608,544,434
190,756,588,558,420
189,766,574,568,414
188,770,560,578,408
187,782,548,590,400
186,780,538,606,398
185,786,534,614,388
184,796,524,624,384
183,784,522,624,382
182,778,520,624,382
181,776,520,624,384
180,770,516,616,386
179,764,516,614,390
178,752,516,610,392
177,744,514,606,392
176,740,514,602,396
175,732,514,598,396
174,726,512,596,396
173,720,508,590,400
172,714,508,582,400
171,702,502,570,394
170,676,492,558,390
169,662,480,546,386
168,644,476,534,386
167,638,476,528,386
166,628,478,520,372
165,620,472,512,366
164,604,460,506,362
163,594,458,492,366
162,586,460,488,368
161,570,460,476,372
160,554,460,462,372
159,538,466,446,376
158,520,462,432,374
157,502,462,416,376
156,486,464,400,378
155,472,470,386,384
154,468,470,376,388
153,452,472,360,390
